Date,True Values,Predicted Values
2020-10-12,8.37,8.33106
2020-10-13,8.36,8.283383
2020-10-14,8.48,8.389929
2020-10-15,8.8,8.574267
2020-10-16,8.9,8.780511
2020-10-19,8.93,8.824217
2020-10-20,8.96,8.877573
2020-10-21,8.85,8.846814
2020-10-22,9.0,8.778825
2020-10-23,8.8,8.812734
2020-10-26,8.48,8.635785
2020-10-27,8.52,8.487626
2020-10-28,8.35,8.419635
2020-10-30,8.06,8.209462
2020-11-02,7.83,7.937691
2020-11-03,8.03,7.9122257
2020-11-04,8.23,8.078038
2020-11-05,8.44,8.239013
2020-11-06,8.5,8.349904
2020-11-09,8.51,8.403724
2020-11-10,8.6,8.472014
2020-11-11,8.7,8.548081
2020-11-12,8.58,8.543006
2020-11-13,8.57,8.485839
2020-11-16,8.59,8.49126
2020-11-17,8.82,8.594314
2020-11-18,8.72,8.675233
2020-11-19,8.52,8.549346
2020-11-20,8.57,8.468823
2020-11-23,8.55,8.466674
2020-11-24,8.2,8.345182
2020-11-25,8.31,8.222085
2020-11-26,8.37,8.275658
2020-11-27,8.42,8.30305
2020-11-30,8.2,8.286511
2020-12-01,8.3,8.234149
2020-12-02,8.3,8.268773
2020-12-03,8.31,8.248466
2020-12-04,8.31,8.243785
2020-12-07,8.7,8.3911
2020-12-08,8.7,8.610688
2020-12-09,8.76,8.594943
2020-12-10,8.71,8.623834
2020-12-11,8.79,8.678912
2020-12-14,8.82,8.765444
2020-12-15,8.88,8.696737
2020-12-16,8.94,8.7625265
2020-12-17,8.91,8.804614
2020-12-18,8.8,8.747174
2020-12-21,8.7,8.647937
2020-12-22,8.58,8.564988
2020-12-23,8.47,8.443464
2020-12-24,8.5,8.386706
2020-12-28,8.37,8.356144
2020-12-29,8.4,8.287791
2020-12-30,8.4,8.324065
2020-12-31,8.3,8.291888
2021-01-04,8.26,8.238317
2021-01-05,8.13,8.18252
2021-01-06,8.02,8.041965
2021-01-07,8.15,8.005356
2021-01-08,8.23,8.1386175
2021-01-11,8.28,8.14236
2021-01-12,8.27,8.214028
2021-01-13,8.33,8.281768
2021-01-14,8.6,8.354867
2021-01-15,8.54,8.469228
2021-01-18,8.51,8.430739
2021-01-19,8.6,8.446292
2021-01-20,8.78,8.559313
2021-01-21,8.74,8.624327
2021-01-22,8.73,8.588555
2021-01-25,8.73,8.577767
2021-01-26,8.78,8.630052
2021-01-27,9.18,8.854389
2021-01-29,9.37,9.339763
2021-02-02,9.35,9.265988
2021-02-03,9.35,9.305
2021-02-04,9.38,9.290542
2021-02-05,9.38,9.277134
2021-02-08,9.3,9.229603
